[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-9.658046E-01	+7.957220E-06
+6.897197E-01	+8.448958E-06
+2.434824E+00	+1.355410E-04
+2.451065E+00	+2.011061E-04
+2.462061E+00	+2.686977E-04
+2.473459E+00	+3.362745E-04
+2.479713E+00	+3.978014E-04
+2.486372E+00	+4.653782E-04
+2.494038E+00	+5.339682E-04
+2.498577E+00	+6.020516E-04
+2.503117E+00	+6.661117E-04
+2.506748E+00	+7.382184E-04
+2.512094E+00	+7.997602E-04
+2.515423E+00	+8.673370E-04
+2.519257E+00	+9.344071E-04
+2.523191E+00	+1.000986E-03
+2.526016E+00	+1.065031E-03
+2.528639E+00	+1.137659E-03
+2.531664E+00	+1.201198E-03
+2.535194E+00	+1.273826E-03
+2.537718E+00	+1.337871E-03
+2.539936E+00	+1.401931E-03
+2.541752E+00	+1.472533E-03
+2.545282E+00	+1.539111E-03
+2.547804E+00	+1.602650E-03
+2.550226E+00	+1.673758E-03
+2.551336E+00	+1.737311E-03
+2.553757E+00	+1.802370E-03
+2.556177E+00	+1.876503E-03
+2.557590E+00	+1.937017E-03
+2.560213E+00	+2.002582E-03
+2.562532E+00	+2.072185E-03
+2.564348E+00	+2.137750E-03
+2.566366E+00	+2.202302E-03
+2.568384E+00	+2.271399E-03
+2.571007E+00	+2.336457E-03
+2.572823E+00	+2.403021E-03
+2.574133E+00	+2.472624E-03
+2.575949E+00	+2.536669E-03
+2.578270E+00	+2.601236E-03
+2.579884E+00	+2.673849E-03
+2.581093E+00	+2.737403E-03
+2.582809E+00	+2.802461E-03
+2.584724E+00	+2.874583E-03
+2.585533E+00	+2.938122E-03
+2.588257E+00	+3.005698E-03
+2.588963E+00	+3.075302E-03
+2.591080E+00	+3.140360E-03
+2.591383E+00	+3.205419E-03
+2.592896E+00	+3.275529E-03
+2.595318E+00	+3.337055E-03
+2.596628E+00	+3.403619E-03
+2.597033E+00	+3.473729E-03
+2.598747E+00	+3.540799E-03
+2.600260E+00	+3.603846E-03
+2.602682E+00	+3.673941E-03
