[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-1.015439E+00	+5.280599E-07
+2.286665E+00	+6.286427E-07
+2.429399E+00	+9.808689E-06
+2.443420E+00	+1.480244E-05
+2.453306E+00	+1.979526E-05
+2.460569E+00	+2.488960E-05
+2.466520E+00	+2.963096E-05
+2.471867E+00	+3.487617E-05
+2.476204E+00	+3.997050E-05
+2.480139E+00	+4.496425E-05
+2.483669E+00	+5.015917E-05
+2.486795E+00	+5.484931E-05
+2.489418E+00	+5.989335E-05
+2.492344E+00	+6.498769E-05
+2.494764E+00	+6.993022E-05
+2.497286E+00	+7.512514E-05
+2.499304E+00	+7.981621E-05
+2.501423E+00	+8.491054E-05
+2.502834E+00	+8.995458E-05
+2.505054E+00	+9.504799E-05
+2.507071E+00	+1.000920E-04
+2.508383E+00	+1.048837E-04
+2.510601E+00	+1.099780E-04
+2.511812E+00	+1.148703E-04
+2.513224E+00	+1.198137E-04
+2.515343E+00	+1.250589E-04
+2.515846E+00	+1.300015E-04
+2.517965E+00	+1.350455E-04
+2.518570E+00	+1.399880E-04
+2.520285E+00	+1.449315E-04
+2.521193E+00	+1.500761E-04
+2.522303E+00	+1.551202E-04
+2.523514E+00	+1.602648E-04
+2.524925E+00	+1.651067E-04
+2.525631E+00	+1.700493E-04
+2.526539E+00	+1.750430E-04
+2.527750E+00	+1.805406E-04
+2.528961E+00	+1.852307E-04
+2.529566E+00	+1.900224E-04
+2.530575E+00	+1.950664E-04
+2.531784E+00	+2.000090E-04
+2.532492E+00	+2.052048E-04
+2.533501E+00	+2.098950E-04
+2.534105E+00	+2.150396E-04
+2.535114E+00	+2.199318E-04
+2.536123E+00	+2.251277E-04
+2.536930E+00	+2.303729E-04
+2.537838E+00	+2.350640E-04
+2.538946E+00	+2.403595E-04
+2.539351E+00	+2.450505E-04
+2.540157E+00	+2.501439E-04
+2.540661E+00	+2.551377E-04
+2.541569E+00	+2.600802E-04
+2.542477E+00	+2.651243E-04
+2.543486E+00	+2.701180E-04
+2.543587E+00	+2.749600E-04
+2.544596E+00	+2.802052E-04
+2.545301E+00	+2.850974E-04
+2.546209E+00	+2.902420E-04
+2.546816E+00	+2.951352E-04
+2.547421E+00	+3.000777E-04
+2.548025E+00	+3.052223E-04
+2.549337E+00	+3.100643E-04
+2.549236E+00	+3.151083E-04
+2.549942E+00	+3.203033E-04
+2.550850E+00	+3.253473E-04
+2.551758E+00	+3.301892E-04
+2.551859E+00	+3.350815E-04
+2.553270E+00	+3.402261E-04
+2.553169E+00	+3.449172E-04
+2.553574E+00	+3.501121E-04
+2.554380E+00	+3.550043E-04
+2.554884E+00	+3.600484E-04
+2.555792E+00	+3.650412E-04
+2.556398E+00	+3.702361E-04
+2.556902E+00	+3.750790E-04
+2.557306E+00	+3.802236E-04
+2.557608E+00	+3.851661E-04
+2.558718E+00	+3.900584E-04
+2.559021E+00	+3.951024E-04
+2.559727E+00	+4.001465E-04
+2.560030E+00	+4.052911E-04
+2.560837E+00	+4.105363E-04
+2.561138E+00	+4.150756E-04
+2.562046E+00	+4.203208E-04
+2.562248E+00	+4.252139E-04
+2.562551E+00	+4.303083E-04
+2.563156E+00	+4.351502E-04
+2.563662E+00	+4.402436E-04
+2.564266E+00	+4.450865E-04
+2.564871E+00	+4.501799E-04
+2.565275E+00	+4.550219E-04
+2.565678E+00	+4.602177E-04
+2.566082E+00	+4.651602E-04
+2.566687E+00	+4.702043E-04
+2.567595E+00	+4.751468E-04
+2.567696E+00	+4.801909E-04
+2.568199E+00	+4.852852E-04
+2.568806E+00	+4.904298E-04
+2.569714E+00	+4.952718E-04
+2.569714E+00	+5.007191E-04
+2.570723E+00	+5.056616E-04
+2.570520E+00	+5.106553E-04
+2.571024E+00	+5.157497E-04
+2.571529E+00	+5.207928E-04
+2.572235E+00	+5.260389E-04
+2.572336E+00	+5.308306E-04
+2.572739E+00	+5.355710E-04
+2.573244E+00	+5.408674E-04
+2.573647E+00	+5.456591E-04
+2.574453E+00	+5.506519E-04
+2.574554E+00	+5.556960E-04
+2.575161E+00	+5.607903E-04
+2.575563E+00	+5.657328E-04
+2.575766E+00	+5.706763E-04
+2.576269E+00	+5.757194E-04
+2.577076E+00	+5.807634E-04
+2.576876E+00	+5.857572E-04
+2.577581E+00	+5.906494E-04
+2.577784E+00	+5.957941E-04
+2.577984E+00	+6.009387E-04
+2.578793E+00	+6.056288E-04
+2.579094E+00	+6.109253E-04
+2.579397E+00	+6.157672E-04
+2.579800E+00	+6.206594E-04
+2.580507E+00	+6.257035E-04
+2.580708E+00	+6.307978E-04
+2.581415E+00	+6.359927E-04
+2.581818E+00	+6.407844E-04
+2.582222E+00	+6.457781E-04
+2.582422E+00	+6.507207E-04
+2.582726E+00	+6.556632E-04
+2.583431E+00	+6.607072E-04
+2.583633E+00	+6.658016E-04
+2.584038E+00	+6.709965E-04
+2.584339E+00	+6.759390E-04
+2.584541E+00	+6.807819E-04
+2.584946E+00	+6.856741E-04
+2.585854E+00	+6.908188E-04
+2.585752E+00	+6.956607E-04
+2.585752E+00	+7.009059E-04
+2.586559E+00	+7.057982E-04
+2.586861E+00	+7.107919E-04
+2.587467E+00	+7.158360E-04
+2.587769E+00	+7.207282E-04
+2.588173E+00	+7.257722E-04
+2.588879E+00	+7.307148E-04
+2.588676E+00	+7.356070E-04
+2.589384E+00	+7.408019E-04
+2.589685E+00	+7.456951E-04
+2.589888E+00	+7.506879E-04
+2.590191E+00	+7.556314E-04
+2.590492E+00	+7.607248E-04
+2.590998E+00	+7.657688E-04
+2.591501E+00	+7.709134E-04
+2.591805E+00	+7.756548E-04
+2.592207E+00	+7.806476E-04
+2.592510E+00	+7.858435E-04
+2.592813E+00	+7.906351E-04
+2.593317E+00	+7.956782E-04
+2.594023E+00	+8.006217E-04
+2.594326E+00	+8.057160E-04
+2.593822E+00	+8.107591E-04
+2.594730E+00	+8.155508E-04
+2.594931E+00	+8.205445E-04
+2.595133E+00	+8.256389E-04
+2.595234E+00	+8.307835E-04
+2.595638E+00	+8.355752E-04
+2.596344E+00	+8.406183E-04
+2.596445E+00	+8.457126E-04
+2.596848E+00	+8.507064E-04
+2.597252E+00	+8.556992E-04
+2.597654E+00	+8.605914E-04
+2.597857E+00	+8.656355E-04
+2.598160E+00	+8.705277E-04
+2.598261E+00	+8.756220E-04
+2.598866E+00	+8.804640E-04
+2.599268E+00	+8.855583E-04
+2.599470E+00	+8.905018E-04
+2.599773E+00	+8.956967E-04
+2.600077E+00	+9.006392E-04
+2.600277E+00	+9.056330E-04
+2.600883E+00	+9.106258E-04
+2.600985E+00	+9.155180E-04
+2.601387E+00	+9.209150E-04
+2.601488E+00	+9.256564E-04
+2.601892E+00	+9.305486E-04
+2.602093E+00	+9.355424E-04
+2.602497E+00	+9.405352E-04
+2.602900E+00	+9.455793E-04
+2.603304E+00	+9.505730E-04
+2.603607E+00	+9.555155E-04
+2.603909E+00	+9.607105E-04
+2.604414E+00	+9.656027E-04
+2.604414E+00	+9.704456E-04
+2.604816E+00	+9.755390E-04
+2.605019E+00	+9.803306E-04
+2.605322E+00	+9.855255E-04
+2.605927E+00	+9.905696E-04
+2.605825E+00	+9.953110E-04
+2.606331E+00	+1.000506E-03
+2.606632E+00	+1.005449E-03
+2.606733E+00	+1.010543E-03
+2.607037E+00	+1.015637E-03
+2.607540E+00	+1.020581E-03
+2.607944E+00	+1.025473E-03
+2.608145E+00	+1.030517E-03
+2.608448E+00	+1.035712E-03
+2.608751E+00	+1.040402E-03
+2.609053E+00	+1.045446E-03
+2.609255E+00	+1.050540E-03
+2.609659E+00	+1.055584E-03
+2.609861E+00	+1.060376E-03
+2.610163E+00	+1.065419E-03
+2.610567E+00	+1.070363E-03
+2.610466E+00	+1.075507E-03
+2.610868E+00	+1.080349E-03
+2.611172E+00	+1.085342E-03
+2.611273E+00	+1.090436E-03
+2.612785E+00	+1.095631E-03
+2.612282E+00	+1.100473E-03
+2.612684E+00	+1.105417E-03
+2.612988E+00	+1.110409E-03
+2.612886E+00	+1.115403E-03
+2.613392E+00	+1.120447E-03
+2.613895E+00	+1.125440E-03
+2.613997E+00	+1.130534E-03
+2.614500E+00	+1.135276E-03
+2.614601E+00	+1.140370E-03
+2.614904E+00	+1.145413E-03
+2.615107E+00	+1.150357E-03
+2.615208E+00	+1.155501E-03
+2.615711E+00	+1.160293E-03
+2.615913E+00	+1.165538E-03
+2.616316E+00	+1.170330E-03
+2.616215E+00	+1.175525E-03
+2.616619E+00	+1.180569E-03
+2.617628E+00	+1.185663E-03
+2.617123E+00	+1.190505E-03
+2.617830E+00	+1.195297E-03
+2.617929E+00	+1.200391E-03
+2.618031E+00	+1.205737E-03
+2.618435E+00	+1.210327E-03
+2.619141E+00	+1.215472E-03
+2.618637E+00	+1.220263E-03
+2.619343E+00	+1.225307E-03
+2.619444E+00	+1.230451E-03
+2.619745E+00	+1.235344E-03
+2.620049E+00	+1.240287E-03
+2.620754E+00	+1.245381E-03
+2.621058E+00	+1.250223E-03
+2.620855E+00	+1.255318E-03
+2.621159E+00	+1.260260E-03
+2.621864E+00	+1.265152E-03
+2.621561E+00	+1.270196E-03
+2.622570E+00	+1.275492E-03
+2.622368E+00	+1.280688E-03
+2.622570E+00	+1.285277E-03
+2.622570E+00	+1.290270E-03
+2.622974E+00	+1.295667E-03
+2.623276E+00	+1.300258E-03
+2.623680E+00	+1.305402E-03
+2.623680E+00	+1.310294E-03
+2.623882E+00	+1.315136E-03
+2.624285E+00	+1.320533E-03
+2.624386E+00	+1.325325E-03
+2.624790E+00	+1.330217E-03
+2.624990E+00	+1.335463E-03
+2.624990E+00	+1.340305E-03
+2.625799E+00	+1.345349E-03
+2.626101E+00	+1.350291E-03
+2.626202E+00	+1.355235E-03
+2.627008E+00	+1.360329E-03
+2.626907E+00	+1.365524E-03
+2.626806E+00	+1.370517E-03
+2.626907E+00	+1.375308E-03
+2.627312E+00	+1.380352E-03
+2.627916E+00	+1.385295E-03
+2.627815E+00	+1.390289E-03
+2.628017E+00	+1.395131E-03
+2.628321E+00	+1.400376E-03
+2.629429E+00	+1.405319E-03
+2.629530E+00	+1.410362E-03
+2.629229E+00	+1.415255E-03
+2.629330E+00	+1.420198E-03
+2.629732E+00	+1.425343E-03
+2.630136E+00	+1.430437E-03
+2.630136E+00	+1.435431E-03
+2.630337E+00	+1.440273E-03
+2.631548E+00	+1.445215E-03
+2.630842E+00	+1.450460E-03
+2.631044E+00	+1.455302E-03
+2.631245E+00	+1.460447E-03
+2.631750E+00	+1.465390E-03
+2.632153E+00	+1.470333E-03
+2.632254E+00	+1.475780E-03
+2.632456E+00	+1.480421E-03
+2.633060E+00	+1.485313E-03
+2.632961E+00	+1.490508E-03
+2.633162E+00	+1.495502E-03
+2.633263E+00	+1.500898E-03
+2.633867E+00	+1.505942E-03
+2.634069E+00	+1.510886E-03
+2.633968E+00	+1.516131E-03
+2.634171E+00	+1.521073E-03
+2.634775E+00	+1.526067E-03
+2.634977E+00	+1.531010E-03
+2.635078E+00	+1.535852E-03
+2.635382E+00	+1.540845E-03
+2.635584E+00	+1.545940E-03
+2.636591E+00	+1.550983E-03
+2.636189E+00	+1.556127E-03
+2.636591E+00	+1.561121E-03
+2.636995E+00	+1.566013E-03
+2.636995E+00	+1.570957E-03
+2.636894E+00	+1.575950E-03
+2.637197E+00	+1.581044E-03
+2.637499E+00	+1.586189E-03
+2.637600E+00	+1.591031E-03
+2.638004E+00	+1.595872E-03
+2.638609E+00	+1.601219E-03
+2.638407E+00	+1.605961E-03
+2.639214E+00	+1.610853E-03
+2.639820E+00	+1.616098E-03
+2.639416E+00	+1.620940E-03
+2.639416E+00	+1.625984E-03
+2.640223E+00	+1.631078E-03
+2.640022E+00	+1.636021E-03
+2.640627E+00	+1.641115E-03
