[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-4.998601E+00	-2.126903E-04
-4.949245E+00	-2.118911E-04
-4.899418E+00	-2.112452E-04
-4.848549E+00	-2.105654E-04
-4.798529E+00	-2.099679E-04
-4.748183E+00	-2.092429E-04
-4.697849E+00	-2.085784E-04
-4.647632E+00	-2.078819E-04
-4.597447E+00	-2.072542E-04
-4.546863E+00	-2.065779E-04
-4.496425E+00	-2.060290E-04
-4.446439E+00	-2.053326E-04
-4.395777E+00	-2.046711E-04
-4.345884E+00	-2.039346E-04
-4.295069E+00	-2.033069E-04
-4.245326E+00	-2.027381E-04
-4.195183E+00	-2.021289E-04
-4.144838E+00	-2.013888E-04
-4.094727E+00	-2.007861E-04
-4.043475E+00	-2.001670E-04
-3.994111E+00	-1.995967E-04
-3.943915E+00	-1.990102E-04
-3.894199E+00	-1.985127E-04
-3.843181E+00	-1.979051E-04
-3.793000E+00	-1.972689E-04
-3.742342E+00	-1.966846E-04
-3.692804E+00	-1.961761E-04
-3.641924E+00	-1.955351E-04
-3.591709E+00	-1.949778E-04
-3.541854E+00	-1.943624E-04
-3.491651E+00	-1.938567E-04
-3.441681E+00	-1.932509E-04
-3.391592E+00	-1.927556E-04
-3.340842E+00	-1.921011E-04
-3.291149E+00	-1.915391E-04
-3.240452E+00	-1.909934E-04
-3.190835E+00	-1.904501E-04
-3.139557E+00	-1.899462E-04
-3.090145E+00	-1.894381E-04
-3.039773E+00	-1.888637E-04
-2.989930E+00	-1.883451E-04
-2.939038E+00	-1.877520E-04
-2.889269E+00	-1.872228E-04
-2.838960E+00	-1.867486E-04
-2.787973E+00	-1.862511E-04
-2.738725E+00	-1.856681E-04
-2.688414E+00	-1.851299E-04
-2.637989E+00	-1.846581E-04
-2.588126E+00	-1.841733E-04
-2.537481E+00	-1.835940E-04
-2.487314E+00	-1.830793E-04
-2.436868E+00	-1.826111E-04
-2.386580E+00	-1.821372E-04
-2.336178E+00	-1.816746E-04
-2.285933E+00	-1.812114E-04
-2.235286E+00	-1.806727E-04
-2.185603E+00	-1.802830E-04
-2.135284E+00	-1.797650E-04
-2.084872E+00	-1.793047E-04
-2.034393E+00	-1.787883E-04
-1.984250E+00	-1.784057E-04
-1.933804E+00	-1.778670E-04
-1.883333E+00	-1.773606E-04
-1.833417E+00	-1.769355E-04
-1.782914E+00	-1.765018E-04
-1.732526E+00	-1.761401E-04
-1.682423E+00	-1.756560E-04
-1.631599E+00	-1.751553E-04
-1.582172E+00	-1.747628E-04
-1.531297E+00	-1.743282E-04
-1.481306E+00	-1.738644E-04
-1.430794E+00	-1.733802E-04
-1.381019E+00	-1.729304E-04
-1.330416E+00	-1.724552E-04
-1.279766E+00	-1.719920E-04
-1.229723E+00	-1.715590E-04
-1.179449E+00	-1.710867E-04
-1.129424E+00	-1.706413E-04
-1.079272E+00	-1.702271E-04
-1.028506E+00	-1.697461E-04
-9.786813E-01	-1.692856E-04
-9.282347E-01	-1.688828E-04
-8.782786E-01	-1.683615E-04
-8.279604E-01	-1.678383E-04
-7.780997E-01	-1.673811E-04
-7.273568E-01	-1.668035E-04
-6.773518E-01	-1.663497E-04
-6.270791E-01	-1.657740E-04
-5.768290E-01	-1.651685E-04
-5.263779E-01	-1.646083E-04
-4.767233E-01	-1.639888E-04
-4.254951E-01	-1.634191E-04
-3.767326E-01	-1.626910E-04
-3.255983E-01	-1.620695E-04
-2.753627E-01	-1.614101E-04
-2.252105E-01	-1.607605E-04
-1.758688E-01	-1.600404E-04
-1.253273E-01	-1.593558E-04
-7.447819E-02	-1.586120E-04
-2.393065E-02	-1.579310E-04
+2.348686E-02	-1.571330E-04
+7.382949E-02	-1.563438E-04
+1.241688E-01	-1.555899E-04
+1.736942E-01	-1.548473E-04
+2.245522E-01	-1.538906E-04
+2.756026E-01	-1.529202E-04
+3.246309E-01	-1.519673E-04
