[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-4.999549E+00	-3.897454E-05
-4.949389E+00	-3.934107E-05
-4.899001E+00	-3.943864E-05
-4.848494E+00	-3.930434E-05
-4.798793E+00	-3.917256E-05
-4.748245E+00	-3.893609E-05
-4.698290E+00	-3.869516E-05
-4.647618E+00	-3.831713E-05
-4.597246E+00	-3.797288E-05
-4.546221E+00	-3.761580E-05
-4.496510E+00	-3.726932E-05
-4.445940E+00	-3.675351E-05
-4.396442E+00	-3.634678E-05
-4.345449E+00	-3.585704E-05
-4.295608E+00	-3.545115E-05
-4.245024E+00	-3.499876E-05
-4.195452E+00	-3.457294E-05
-4.144400E+00	-3.405478E-05
-4.095101E+00	-3.355092E-05
-4.043472E+00	-3.311870E-05
-3.993763E+00	-3.262081E-05
-3.943278E+00	-3.219477E-05
-3.893379E+00	-3.165246E-05
-3.842327E+00	-3.118709E-05
-3.792709E+00	-3.070153E-05
-3.742716E+00	-3.022736E-05
-3.692732E+00	-2.981692E-05
-3.642269E+00	-2.934757E-05
-3.591493E+00	-2.885336E-05
-3.541927E+00	-2.837555E-05
-3.491478E+00	-2.792891E-05
-3.441845E+00	-2.748719E-05
-3.391052E+00	-2.707924E-05
-3.340714E+00	-2.661222E-05
-3.291069E+00	-2.607743E-05
-3.240078E+00	-2.566708E-05
-3.190206E+00	-2.521679E-05
-3.139355E+00	-2.480234E-05
-3.090398E+00	-2.429967E-05
-3.039344E+00	-2.390466E-05
-2.989248E+00	-2.342352E-05
-2.939543E+00	-2.302390E-05
-2.889214E+00	-2.265878E-05
-2.838901E+00	-2.218782E-05
-2.788522E+00	-2.182281E-05
-2.738536E+00	-2.136314E-05
-2.688457E+00	-2.099155E-05
-2.637707E+00	-2.061844E-05
-2.588005E+00	-2.019896E-05
-2.537014E+00	-1.979558E-05
-2.487455E+00	-1.933609E-05
-2.436728E+00	-1.897044E-05
-2.386768E+00	-1.860375E-05
-2.336480E+00	-1.820941E-05
-2.286282E+00	-1.780260E-05
-2.235120E+00	-1.741710E-05
-2.185261E+00	-1.702218E-05
-2.134393E+00	-1.665650E-05
-2.084670E+00	-1.632437E-05
-2.034071E+00	-1.594661E-05
-1.984011E+00	-1.558194E-05
-1.933261E+00	-1.522042E-05
-1.883273E+00	-1.486157E-05
-1.832841E+00	-1.449766E-05
-1.782813E+00	-1.413980E-05
-1.732366E+00	-1.379089E-05
-1.682033E+00	-1.335486E-05
-1.632025E+00	-1.300997E-05
-1.581441E+00	-1.268175E-05
-1.531385E+00	-1.234585E-05
-1.481597E+00	-1.198395E-05
-1.430503E+00	-1.164359E-05
-1.380549E+00	-1.131576E-05
-1.330315E+00	-1.093972E-05
-1.279707E+00	-1.064460E-05
-1.229774E+00	-1.031106E-05
-1.179559E+00	-9.933960E-06
-1.129599E+00	-9.545372E-06
-1.079381E+00	-9.239289E-06
-1.028934E+00	-8.921532E-06
-9.788830E-01	-8.521382E-06
-9.277451E-01	-8.201583E-06
-8.785742E-01	-7.873937E-06
-8.281622E-01	-7.526724E-06
-7.779042E-01	-7.128246E-06
-7.275527E-01	-6.804260E-06
-6.772075E-01	-6.461851E-06
-6.270791E-01	-6.065214E-06
-5.770124E-01	-5.656395E-06
-5.263779E-01	-5.282021E-06
-4.760361E-01	-4.916917E-06
-4.253976E-01	-4.439023E-06
-3.760533E-01	-4.049549E-06
-3.252050E-01	-3.628482E-06
-2.753649E-01	-3.163965E-06
-2.258070E-01	-2.645739E-06
-1.751722E-01	-2.150031E-06
-1.252254E-01	-1.615317E-06
-7.467998E-02	-1.010286E-06
-2.554459E-02	-3.931453E-07
+2.278133E-02	+2.696315E-07
+7.463659E-02	+9.462354E-07
+1.238692E-01	+1.745670E-06
+1.739046E-01	+2.630056E-06
+2.242477E-01	+3.561545E-06
+2.751946E-01	+4.545815E-06
+3.248326E-01	+5.592400E-06
+3.749575E-01	+6.788630E-06
+4.253183E-01	+8.085663E-06
+4.759595E-01	+9.502174E-06
+5.254687E-01	+1.101847E-05
+5.769461E-01	+1.265502E-05
+6.260826E-01	+1.443785E-05
+6.762123E-01	+1.641947E-05
+7.261503E-01	+1.854147E-05
+7.771287E-01	+2.089624E-05
+8.269746E-01	+2.340673E-05
+8.769448E-01	+2.613982E-05
+9.276401E-01	+2.912750E-05
+9.775079E-01	+3.243956E-05
+1.028376E+00	+3.598647E-05
+1.078313E+00	+3.985080E-05
+1.127948E+00	+4.404278E-05
+1.179051E+00	+4.867926E-05
+1.229082E+00	+5.370440E-05
+1.279173E+00	+5.925263E-05
+1.329028E+00	+6.515397E-05
+1.379582E+00	+7.161327E-05
+1.429935E+00	+7.858188E-05
+1.480995E+00	+8.634468E-05
+1.530757E+00	+9.453842E-05
+1.580481E+00	+1.034709E-04
+1.630584E+00	+1.131434E-04
+1.681645E+00	+1.237316E-04
+1.731799E+00	+1.348133E-04
+1.782142E+00	+1.469814E-04
+1.831921E+00	+1.601361E-04
+1.882665E+00	+1.742874E-04
+1.932936E+00	+1.894384E-04
+1.983527E+00	+2.058351E-04
+2.033216E+00	+2.238832E-04
+2.083978E+00	+2.431917E-04
+2.133579E+00	+2.637981E-04
+2.183938E+00	+2.866107E-04
