[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-9.999640E-01	-1.420383E-05
-9.899046E-01	-1.405873E-05
-9.798313E-01	-1.404993E-05
-9.697897E-01	-1.396293E-05
-9.597192E-01	-1.386680E-05
-9.496806E-01	-1.377553E-05
-9.396604E-01	-1.373341E-05
-9.295880E-01	-1.367218E-05
-9.195208E-01	-1.356579E-05
-9.094985E-01	-1.346870E-05
-8.994900E-01	-1.338821E-05
-8.894169E-01	-1.330372E-05
-8.793496E-01	-1.325734E-05
-8.692481E-01	-1.316738E-05
-8.592282E-01	-1.303387E-05
-8.492017E-01	-1.295402E-05
-8.392081E-01	-1.283694E-05
-8.291644E-01	-1.276614E-05
-8.191473E-01	-1.274658E-05
-8.090492E-01	-1.261328E-05
-7.990329E-01	-1.252222E-05
-7.888891E-01	-1.240241E-05
-7.789336E-01	-1.233174E-05
-7.688650E-01	-1.225389E-05
-7.587595E-01	-1.218602E-05
-7.487486E-01	-1.210494E-05
-7.386445E-01	-1.195053E-05
-7.285590E-01	-1.184738E-05
-7.185822E-01	-1.175864E-05
-7.084931E-01	-1.169039E-05
-6.984850E-01	-1.162112E-05
-6.883739E-01	-1.149787E-05
-6.783488E-01	-1.137471E-05
-6.682436E-01	-1.127039E-05
-6.582653E-01	-1.129354E-05
-6.481891E-01	-1.115676E-05
-6.381016E-01	-1.104231E-05
-6.280949E-01	-1.094180E-05
-6.180478E-01	-1.085072E-05
-6.080364E-01	-1.076323E-05
-5.980198E-01	-1.066794E-05
-5.879422E-01	-1.055013E-05
-5.778432E-01	-1.048291E-05
-5.678317E-01	-1.038299E-05
-5.577385E-01	-1.030694E-05
-5.477441E-01	-1.015838E-05
-5.377014E-01	-1.007678E-05
-5.276528E-01	-1.000282E-05
-5.175450E-01	-9.933635E-06
-5.075501E-01	-9.849176E-06
-4.974646E-01	-9.728812E-06
-4.873730E-01	-9.599474E-06
-4.773127E-01	-9.585339E-06
-4.672722E-01	-9.451304E-06
-4.572726E-01	-9.318498E-06
-4.471466E-01	-9.197674E-06
-4.371499E-01	-9.167398E-06
-4.270489E-01	-9.093860E-06
-4.170288E-01	-8.969103E-06
-4.069078E-01	-8.881897E-06
-3.969790E-01	-8.788657E-06
-3.868943E-01	-8.672493E-06
-3.768522E-01	-8.566432E-06
-3.667758E-01	-8.507983E-06
-3.567300E-01	-8.384494E-06
-3.466494E-01	-8.263588E-06
-3.365910E-01	-8.163934E-06
-3.265619E-01	-8.144790E-06
-3.165348E-01	-8.038117E-06
-3.066062E-01	-7.893389E-06
-2.964250E-01	-7.865837E-06
-2.864204E-01	-7.737704E-06
-2.764011E-01	-7.602659E-06
-2.663092E-01	-7.512922E-06
-2.563325E-01	-7.459866E-06
-2.462878E-01	-7.334773E-06
-2.361434E-01	-7.212408E-06
-2.261209E-01	-7.114062E-06
-2.160536E-01	-7.074419E-06
-2.060318E-01	-6.963676E-06
-1.958936E-01	-6.832676E-06
-1.859669E-01	-6.806571E-06
-1.758566E-01	-6.686903E-06
-1.657543E-01	-6.533503E-06
-1.556652E-01	-6.428593E-06
-1.456380E-01	-6.396392E-06
-1.355682E-01	-6.259789E-06
-1.254604E-01	-6.125719E-06
-1.154434E-01	-6.018535E-06
-1.053970E-01	-5.990230E-06
-9.533655E-02	-5.889588E-06
-8.531111E-02	-5.752678E-06
-7.532446E-02	-5.661139E-06
-6.532405E-02	-5.556628E-06
-5.522880E-02	-5.444665E-06
-4.511309E-02	-5.317346E-06
-3.512545E-02	-5.247449E-06
-2.507897E-02	-5.106418E-06
-1.501111E-02	-4.983517E-06
-4.964107E-03	-4.868312E-06
+4.921322E-03	-4.762709E-06
+1.486649E-02	-4.651464E-06
+2.501411E-02	-4.543177E-06
